anime_id,genres
6024,Slice of Life
14741,Comedy
14741,Romance
51916,Comedy
51916,Supernatural
38671,Action
38671,Fantasy
38671,Sci-Fi
33899,Drama
38619,Comedy
4814,Boys Love
4814,Comedy
4814,Drama
2582,Action
2582,Drama
2582,Sci-Fi
5074,Action
5074,Comedy
5074,Sci-Fi
51536,
43523,Action
43523,Adventure
43523,Comedy
43523,Fantasy
1000,Action
1000,Adventure
1000,Drama
1000,Sci-Fi
40620,Comedy
34284,Drama
34284,Fantasy
35860,Comedy
34914,Comedy
32370,Action
32370,Adventure
32370,Fantasy
5835,Drama
5835,Romance
5231,Sports
8426,Drama
8426,Romance
48553,Slice of Life
39959,Comedy
120,Drama
120,Romance
120,Supernatural
28907,Action
28907,Adventure
28907,Fantasy
36094,Fantasy
36094,Slice of Life
50608,Action
50608,Drama
50608,Supernatural
1375,Comedy
1375,Romance
1375,Slice of Life
516,Comedy
516,Sci-Fi
48916,Slice of Life
51678,Comedy
50613,Action
32491,Slice of Life
324,Comedy
324,Sci-Fi
35240,Action
35240,Mystery
20847,Comedy
90,Action
90,Drama
90,Sci-Fi
7193,Drama
7193,Suspense
477,Fantasy
477,Sci-Fi
477,Slice of Life
8516,Comedy
8516,Romance
22777,Action
22777,Adventure
22777,Comedy
22777,Fantasy
53716,Action
53716,Fantasy
40357,Action
40357,Adventure
40357,Drama
40357,Fantasy
53446,Adventure
53446,Comedy
53446,Fantasy
53446,Gourmet
34445,Drama
34445,Fantasy
2451,Action
2451,Adventure
2451,Sci-Fi
182,Adventure
182,Fantasy
182,Romance
6213,Action
6213,Fantasy
6213,Sci-Fi
323,Avant Garde
323,Drama
323,Mystery
323,Supernatural
323,Suspense
2547,Drama
2104,Comedy
2104,Romance
5485,Action
5485,Drama
35503,Drama
33502,Drama
33502,Fantasy
33502,Romance
33502,Sci-Fi
37956,Romance
3841,Comedy
3841,Slice of Life
13535,Comedy
13535,Supernatural
4192,Action
4192,Comedy
4192,Romance
38101,Comedy
38101,Romance
48804,Fantasy
48804,Gourmet
48804,Slice of Life
28249,Action
28249,Adventure
28249,Drama
28249,Fantasy
33337,Drama
33337,Fantasy
33337,Mystery
21405,Slice of Life
33354,Adventure
33354,Comedy
33354,Fantasy
33354,Romance
233,Comedy
233,Sci-Fi
8687,Comedy
8687,Sci-Fi
12883,Comedy
12883,Sci-Fi
36653,Sports
8525,Comedy
8525,Romance
8525,Supernatural
10460,Comedy
10460,Romance
4898,Action
4898,Fantasy
4898,Mystery
50695,
9510,Comedy
23755,Action
